Altium Designer Pick and Place Locations
C:\Users\s-fre\Github\ethGitlab\sensei-wulpus-shield\hw\wulpus_pro_acq_pcb_dev_board\Project Outputs for wulpus_pro_acq_pcb\Pick Place\Pick Place for wulpus_pro_acq(pzt_hia_no_bias).txt

========================================================================================================================
File Design Information:

Date:       27.05.26
Time:       13:31
Revision:   dac888c8aeea61f824c052da7adf19988fcd2d27
Variant:    pzt_hia_no_bias
Units used: mm

Designator Comment                   Layer       Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                 
C58        GRM188R61H225ME11D        BottomLayer FP-GRM188-0_2-IPC_B             -9.5000      -7.6000      0        GRM188R61H225ME11D                                                                                                                                          
C57        GRM188R61H225ME11D        BottomLayer FP-GRM188-0_2-IPC_B             2.2750       -6.0500      270      GRM188R61H225ME11D                                                                                                                                          
C56        GRM188R61H225ME11D        BottomLayer FP-GRM188-0_2-IPC_B             -2.0000      -4.8000      270      GRM188R61H225ME11D                                                                                                                                          
C55        GJM1555C1H120GB01D        TopLayer    FP-GJM155-0_05-IPC_A            -20.7500     7.0750       270      "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                
C54        GJM1555C1H120GB01D        TopLayer    FP-GJM155-0_05-IPC_A            -14.7250     8.6250       0        "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                
C53        GJM1555C1H120GB01D        TopLayer    FP-GJM155-0_05-IPC_A            -21.9400     7.0800       270      "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                
C52        GJM1555C1H120GB01D        TopLayer    FP-GJM155-0_05-IPC_A            -16.9250     8.6500       180      "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                
C51        GRM1555C1H102JA01D        BottomLayer FP-GRM155-0_05-IPC_B            -22.4250     4.2250       0        "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, C0G, 30ppm/°C, 5%, 50V"                                                              
C50        GJM1555C1H120GB01D        TopLayer    FP-GJM155-0_05-IPC_A            -21.4400     8.8800       180      "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                
C49        GJM1555C1H120GB01D        TopLayer    FP-GJM155-0_05-IPC_A            -28.6500     5.2250       0        "Multi-Layer Ceramic Capacitor 12pF C0G  ±2% 0402 Paper T/R"                                                                                                
C48        C0402C104K4RACTU          TopLayer    CAPC1005X55X30LL05T10           -16.8000     -5.6250      270      C0402C104K4RACTU                                                                                                                                            
C47        C0402C104K4RACTU          TopLayer    CAPC1005X55X30LL05T10           -30.1000     3.1750       180      C0402C104K4RACTU                                                                                                                                            
C46        C0402C104K4RACTU          TopLayer    CAPC1005X55X30LL05T10           -18.9250     5.5500       0        C0402C104K4RACTU                                                                                                                                            
C45        C1005X7S1A225K050BC       TopLayer    FP-C1005-050-0_15-0_1-MFG       -17.7000     -5.6000      90       C1005X7S1A225K050BC                                                                                                                                         
C44        C1005X7S1A225K050BC       TopLayer    FP-C1005-050-0_15-0_1-MFG       -30.0000     2.1500       180      C1005X7S1A225K050BC                                                                                                                                         
C43        C1005X7S1A225K050BC       TopLayer    FP-C1005-050-0_15-0_1-MFG       -18.8000     4.6500       180      C1005X7S1A225K050BC                                                                                                                                         
C37        GRM155R71H473ME14D        BottomLayer FP-GRM155-0_05-IPC_C            0.6250       0.8000       270      GRM155R71H473ME14D                                                                                                                                          
C36        GRM155R71H473ME14D        TopLayer    FP-GRM155-0_05-IPC_C            -5.1000      -6.8750      180      GRM155R71H473ME14D                                                                                                                                          
C29        C0402C104K4RACTU          TopLayer    CAPC1005X55X30LL05T10           -6.4750      -1.0000      0        C0402C104K4RACTU                                                                                                                                            
C28        C1005X7S1A225K050BC       TopLayer    FP-C1005-050-0_15-0_1-MFG       -6.1750      -0.0500      180      C1005X7S1A225K050BC                                                                                                                                         
C35        GRM188R61H225ME11         BottomLayer FP-GRM188-0_2-IPC_B             3.6750       -8.0000      270      GRM188R61H225ME11                                                                                                                                           
